2024-06-24 15:06:10 INFO  HomePage :69 - Clicking on menu tab : [[[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2024-06-24 15:06:41 INFO  ComputerPage :35 - Get computer text[[ChromeDriver: chrome on windows (40cc3aa2272120c29752214d5507f0d9)] -> xpath: //h1]
2024-06-24 15:06:908 INFO  ComputerPage :42 - Clicking on logout link[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2024-06-24 15:06:415 INFO  DesktopsPage :44 - Clicking on logout link[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/img[1]]
2024-06-24 15:06:505 INFO  BuildYourOwnComputerPage :54 - Select processor : [[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> css selector: #product_attribute_1]
2024-06-24 15:06:637 INFO  BuildYourOwnComputerPage :59 - select ram[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> css selector: #product_attribute_2]
2024-06-24 15:06:693 INFO  BuildYourOwnComputerPage :73 - select hdd[[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_3], [[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_3]]
2024-06-24 15:06:744 INFO  BuildYourOwnComputerPage :87 - select os[[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_4], [[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_4]]
2024-06-24 15:06:784 INFO  BuildYourOwnComputerPage :104 - select checkBox[[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> name: product_attribute_5]]
2024-06-24 15:06:815 INFO  BuildYourOwnComputerPage :108 - Clicking on logout link[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> css selector: #add-to-cart-button-1]
2024-06-24 15:06:82 INFO  BuildYourOwnComputerPage :114 - Get product successfully added text[[ChromeDriver: chrome on windows (ebe4b60a25e5db4b99030be1af7b8f40)] -> xpath: //p[@class='content']]
2024-06-24 15:06:406 INFO  ComputerPage :42 - Clicking on logout link[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2024-06-24 15:06:887 INFO  DesktopsPage :44 - Clicking on logout link[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/img[1]]
2024-06-24 15:06:00 INFO  BuildYourOwnComputerPage :54 - Select processor : [[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> css selector: #product_attribute_1]
2024-06-24 15:06:125 INFO  BuildYourOwnComputerPage :59 - select ram[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> css selector: #product_attribute_2]
2024-06-24 15:06:203 INFO  BuildYourOwnComputerPage :73 - select hdd[[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_3], [[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_3]]
2024-06-24 15:06:282 INFO  BuildYourOwnComputerPage :87 - select os[[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_4], [[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_4]]
2024-06-24 15:06:366 INFO  BuildYourOwnComputerPage :104 - select checkBox[[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> name: product_attribute_5]]
2024-06-24 15:06:455 INFO  BuildYourOwnComputerPage :108 - Clicking on logout link[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> css selector: #add-to-cart-button-1]
2024-06-24 15:06:743 INFO  BuildYourOwnComputerPage :114 - Get product successfully added text[[ChromeDriver: chrome on windows (1c557cd517e66ed72b1d73fdf0fb119b)] -> xpath: //p[@class='content']]
2024-06-24 15:06:546 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (6489ac87bffe54e09b5f453850df721f)] -> link text: Log in]
2024-06-24 15:06:603 INFO  LoginPage :39 - Getting text from : [[ChromeDriver: chrome on windows (6489ac87bffe54e09b5f453850df721f)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2024-06-24 15:06:264 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (2b8e54b2700d0e86ef8fb3a4a5a4bfb8)] -> link text: Log in]
2024-06-24 15:06:387 INFO  LoginPage :45 - Enter email : [[ChromeDriver: chrome on windows (2b8e54b2700d0e86ef8fb3a4a5a4bfb8)] -> id: Email]
2024-06-24 15:06:530 INFO  LoginPage :50 - Enter password : [[ChromeDriver: chrome on windows (2b8e54b2700d0e86ef8fb3a4a5a4bfb8)] -> name: Password]
2024-06-24 15:06:828 INFO  LoginPage :55 - Click on login button : [[ChromeDriver: chrome on windows (2b8e54b2700d0e86ef8fb3a4a5a4bfb8)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-24 15:06:866 INFO  LoginPage :59 - Getting error message : [[ChromeDriver: chrome on windows (2b8e54b2700d0e86ef8fb3a4a5a4bfb8)] -> xpath: //div[@class='message-error validation-summary-errors']]
2024-06-24 15:06:161 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (af08b60d45a5ce74fa308557751a70f7)] -> link text: Log in]
2024-06-24 15:06:317 INFO  LoginPage :45 - Enter email : [[ChromeDriver: chrome on windows (af08b60d45a5ce74fa308557751a70f7)] -> id: Email]
2024-06-24 15:06:392 INFO  LoginPage :50 - Enter password : [[ChromeDriver: chrome on windows (af08b60d45a5ce74fa308557751a70f7)] -> name: Password]
2024-06-24 15:06:755 INFO  LoginPage :55 - Click on login button : [[ChromeDriver: chrome on windows (af08b60d45a5ce74fa308557751a70f7)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-24 15:06:21 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (fe7a47aedabd7f0d53e35adc8a452403)] -> link text: Log in]
2024-06-24 15:06:138 INFO  LoginPage :45 - Enter email : [[ChromeDriver: chrome on windows (fe7a47aedabd7f0d53e35adc8a452403)] -> id: Email]
2024-06-24 15:06:203 INFO  LoginPage :50 - Enter password : [[ChromeDriver: chrome on windows (fe7a47aedabd7f0d53e35adc8a452403)] -> name: Password]
2024-06-24 15:06:458 INFO  LoginPage :55 - Click on login button : [[ChromeDriver: chrome on windows (fe7a47aedabd7f0d53e35adc8a452403)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-24 15:06:616 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (54b89740262061637ac85f1175d411bb)] -> link text: Log in]
2024-06-24 15:06:672 INFO  LoginPage :39 - Getting text from : [[ChromeDriver: chrome on windows (54b89740262061637ac85f1175d411bb)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2024-06-24 15:06:324 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (63570aaacd99a6ad383c3a19a3380377)] -> link text: Log in]
2024-06-24 15:06:438 INFO  LoginPage :45 - Enter email : [[ChromeDriver: chrome on windows (63570aaacd99a6ad383c3a19a3380377)] -> id: Email]
2024-06-24 15:06:532 INFO  LoginPage :50 - Enter password : [[ChromeDriver: chrome on windows (63570aaacd99a6ad383c3a19a3380377)] -> name: Password]
2024-06-24 15:06:844 INFO  LoginPage :55 - Click on login button : [[ChromeDriver: chrome on windows (63570aaacd99a6ad383c3a19a3380377)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-24 15:06:868 INFO  LoginPage :59 - Getting error message : [[ChromeDriver: chrome on windows (63570aaacd99a6ad383c3a19a3380377)] -> xpath: //div[@class='message-error validation-summary-errors']]
2024-06-24 15:06:561 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (5f837ec98501c3269add1bcbf6f51966)] -> link text: Log in]
2024-06-24 15:06:677 INFO  LoginPage :45 - Enter email : [[ChromeDriver: chrome on windows (5f837ec98501c3269add1bcbf6f51966)] -> id: Email]
2024-06-24 15:06:756 INFO  LoginPage :50 - Enter password : [[ChromeDriver: chrome on windows (5f837ec98501c3269add1bcbf6f51966)] -> name: Password]
2024-06-24 15:06:109 INFO  LoginPage :55 - Click on login button : [[ChromeDriver: chrome on windows (5f837ec98501c3269add1bcbf6f51966)] -> xpath: //button[contains(text(),'Log in')]]
2024-06-24 15:06:130 INFO  LoginPage :59 - Getting error message : [[ChromeDriver: chrome on windows (5f837ec98501c3269add1bcbf6f51966)] -> xpath: //div[@class='message-error validation-summary-errors']]
2024-06-24 15:06:251 INFO  HomePage :57 - Clicking on login link : [[ChromeDriver: chrome on windows (a6469b4e5a7b258ccc67aee2f6d2d693)] -> link text: Log in]
